,Point:0,Point:1,Point:2,T
2617,4.4511,0.030866,0.056413,267.96
2618,2.1358,-0.037699,0.0017652000000000002,377.85
2619,3.0012,0.030622000000000003,-0.0063697,314.34
2620,1.1785,-0.023844999999999998,-0.01668,607.13
2621,0.4172,0.054925999999999996,-0.11222,688.43
2622,0.53637,0.10250999999999999,-0.061866,694.95
2623,0.48941,0.1218,0.10769000000000001,698.2
2624,0.48207,0.11962,-0.041047,693.31
2625,0.54174,-0.10103999999999999,-0.0020823,694.64
2626,0.55735,-0.10812999999999999,-0.004220499999999999,694.74
2627,0.54435,-0.1082,-0.00090281,694.6
2628,1.9629,-0.027647,0.006518600000000001,409.56
2629,3.9961,-0.009272,0.010669,283.26
2630,0.23193000000000003,0.062238999999999996,-0.019862,644.42
2631,0.22366999999999998,0.07092899999999999,-0.027558999999999997,639.2
2632,0.23117,0.055821,-0.022556,645.36
2633,3.5828,0.038153,-0.016735,292.13
2634,4.3076,-0.027620999999999996,0.082094,270.83
2635,4.3018,-0.011728,0.08530399999999999,270.11
2636,2.8758,0.053078,-0.005413800000000001,314.22
2637,3.7594,0.032635000000000004,-0.0099377,288.24
2638,0.41547,0.079038,-0.035828,687.11
2639,0.5984,0.097913,-0.1047,693.87
2640,3.8527,-0.022762,-0.039616000000000005,282.59
2641,3.8489,-0.016367,-0.040274000000000004,284.52
2642,3.8637,-0.025384,-0.042642,280.04
2643,1.5489,0.034022000000000004,0.016808,495.87
2644,0.272,-0.014909,-0.028594,662.49
2645,0.40291,0.10269,0.026101999999999997,687.75
2646,2.8076,-0.054751999999999995,-0.016089,315.83
2647,2.8149,-0.053230999999999994,-0.0091071,316.56
2648,2.8,-0.062988,-0.0021399,311.7
2649,0.8915700000000001,-0.024231,-0.055501999999999996,611.96
2650,0.71128,-0.097001,-0.0064453,689.07
2651,1.8922,-0.012869,0.029863999999999998,421.84
2652,0.53869,0.13494,0.07552,696.79
2653,3.0073,-0.008431399999999999,0.020484,316.67
2654,0.46813999999999995,0.071701,-0.050802,692.02
2655,0.45966999999999997,0.069414,-0.05979400000000001,692.79
2656,0.46617,0.06953,-0.047318,692.84
2657,3.8742,0.072943,0.018328,279.44
2658,3.8789999999999996,0.069107,0.036808,281.67
2659,4.1752,0.052955999999999996,0.044304,276.77
2660,4.1639,0.06262100000000001,0.045903,275.76
2661,4.1855,0.06264299999999999,0.041926,274.19
2662,2.2479,-0.016994,-0.036398,366.98
2663,2.9247,0.037522,0.043024,307.51
2664,2.9130000000000003,0.046747000000000004,0.039064,307.44
2665,1.246,-0.044239,-0.023278,476.2
2666,1.2317,-0.036448,-0.022747,536.92
2667,1.2363,-0.041661000000000004,-0.026986000000000003,495.38
2668,2.4977,-0.041247000000000006,0.019849000000000002,340.36
2669,0.27376,0.09847,-0.014037,662.85
2670,4.2663,-0.068191,-0.020503,268.94
2671,4.2561,-0.07711599999999999,-0.029935000000000003,269.11
2672,0.5451199999999999,-0.11285999999999999,-0.055321,695.16
2673,0.19102,-0.039534,0.0019711,613.54
2674,4.5155,0.014946000000000001,0.054562,269.33
2675,4.5263,0.009536399999999999,0.057674,269.27
2676,3.4039,-0.014278,-0.037549,298.05
2677,1.9236,0.03088,0.044426,364.25
2678,1.9187,0.014238999999999998,0.042953,378.82
2679,1.915,0.019524,0.036292000000000005,396.32
2680,3.3089999999999997,-0.012898,-0.0094427,302.64
2681,0.27071999999999996,-0.046654,0.11064,663.65
2682,0.55097,-0.07585499999999999,-0.04601,696.48
2683,3.1698,-0.026561,-0.019938,307.81
2684,2.2969,-0.022684,0.010931,367.67
2685,4.3977,-0.0097172,-0.033987,270.62
2686,4.0324,-0.043753,-0.028193,277.55
2687,4.019,-0.049798,-0.03581,277.63
2688,3.2471,-0.065859,-0.017639,295.09
2689,0.40981999999999996,0.07292,0.1068,687.5
2690,0.50088,0.10711,0.054773,695.22
2691,0.56911,-0.052162,0.10447999999999999,695.56
2692,1.3548,0.034808,-0.0066036,544.41
2693,0.28504,0.07195800000000001,0.061239999999999996,669.45
2694,4.0316,-0.019112,-0.023728,280.93
2695,4.0263,-0.028094,-0.036587,278.53
2696,4.035,-0.018054,-0.028354,280.52
2697,0.42648,0.025238,0.07523200000000001,690.09
2698,3.4576,-0.0177,0.057562999999999996,291.62
2699,3.4641,-0.036385,-0.015248,296.45
2700,3.82,-0.014744,0.0088714,288.08
2701,0.5343899999999999,0.019418,-0.013399000000000001,698.12
2702,3.2841,0.060997,0.014475,297.96
2703,0.21624000000000002,-0.11101,-0.051823,633.38
2704,0.20751,-0.1055,-0.071548,649.93
2705,0.21118,-0.10903,-0.05971,631.74
2706,0.26156999999999997,0.015016999999999999,0.11408,662.27
2707,0.22974,-0.016359000000000002,-0.025164,645.23
2708,2.1655,0.015216,-0.026931999999999998,379.58
2709,3.1905,-0.023399,0.054581,300.7
2710,0.9735299999999999,-0.050559,-0.00057498,591.63
2711,0.9895,-0.058073,0.0029549,525.73
2712,0.9790200000000001,-0.05545,0.0046203,544.01
2713,0.34726,-0.098802,0.087291,690.58
2714,0.35601,-0.10637,0.08058799999999999,689.74
2715,0.35111,-0.10676,0.077511,692.61
2716,3.9643,0.027953,-0.0099351,283.93
2717,0.30383000000000004,0.031096,0.1252,694.23
2718,0.8924,-0.041074,0.029414999999999997,652.21
2719,0.55696,0.09384400000000001,-0.017651,695.62
2720,4.3682,0.035164999999999995,0.035901,273.15
2721,4.3304,0.01898,-0.0046723,275.37
2722,4.5101,0.027111,-0.005810899999999999,269.11
2723,4.5213,0.019263,-0.010103000000000001,268.99
2724,4.5249,0.023369,-0.0044881,269.09
2725,2.9504,-0.022896,-0.012981,318.48
2726,2.5649,0.033017000000000005,0.007852,340.66
2727,0.42563999999999996,-0.013607,0.095183,690.47
2728,2.7397,0.051733,0.033481,318.98
2729,2.7328,0.058566999999999994,0.048483,309.13
2730,2.7373,0.04679,0.04099,317.08
2731,2.7065,0.0033816000000000002,0.052573,323.53
2732,2.9554,-0.0173,-0.025074000000000003,318.06
2733,0.53385,-0.0447,0.014736,696.68
2734,4.0244,0.054029999999999995,0.024636,279.93
2735,0.19368,0.07814299999999999,-0.044917,617.37
2736,0.44461000000000006,0.038397,-0.10457000000000001,692.7
2737,1.2143,-0.04828,-0.014362,480.42
2738,0.4168,0.12567,0.064466,694.84
2739,0.424,0.13089,0.048010000000000004,689.27
2740,0.41611000000000004,0.13191,0.051780999999999994,692.04
2741,0.4705,-0.073023,-0.11785,693.66
2742,0.6998800000000001,0.09713,0.03298,690.49
2743,0.81596,0.042577,-0.052161,673.09
2744,3.2611,-0.035743000000000004,-0.006196500000000001,302.53
2745,2.9760000000000004,-0.026618,0.029911,313.47
2746,2.9698,-0.028112,0.041676,308.92
2747,2.9745,-0.03708,0.030552,313.82
2748,3.7563,-0.011148,-0.0088831,290.37
2749,1.8130000000000002,0.0081307,0.027070999999999998,429.39
2750,4.1023,0.014106,-0.0031788,281.6
2751,4.2469,-0.013035,-0.0012383,277.71
2752,0.1927,-0.005206100000000001,-0.12358,614.92
2753,0.96973,0.020998,0.043958,590.39
2754,1.8985,0.044696,-0.014733000000000001,376.91
2755,0.47367,-0.008259299999999999,-0.080435,693.81
2756,4.2234,-0.025938,0.047237,274.81
2757,3.1296,-0.03415,-0.0062025,308.65
2758,0.30107,-0.064945,0.095355,675.42
2759,2.2199,0.005211199999999999,0.008534100000000001,386.76
2760,1.2848,-0.0037882,-0.036881,520.7
2761,4.1594,0.031212,0.021723,277.85
2762,0.89681,-0.041495,-0.046675,604.3
2763,1.4453,-0.009013600000000002,-0.00082298,571.73
2764,2.4979,0.024956,-0.018644,340.81
2765,0.42199,-0.0050414,0.072503,690.55
2766,3.1884,-0.007273100000000001,-0.038626,305.78
2767,3.4679,0.053623000000000004,-0.030536,293.55
2768,3.4711,0.053547000000000004,-0.017011000000000002,294.93
2769,3.4560000000000004,0.053487,-0.022847,295.53
2770,0.19833,0.10290999999999999,-0.07144099999999999,624.24
2771,0.18047,0.096126,-0.070903,601.58
2772,2.1587,-0.032768,0.019336000000000002,375.4
2773,1.7587,-0.031912,-0.042125,393.9
2774,0.31508,0.050366,-0.11272,671.8
2775,2.7353,-0.026848,-0.050597,318.72
2776,2.738,-0.038202999999999994,-0.032926,324.06
2777,2.7278,-0.032646,-0.03801,323.63
2778,0.27460999999999997,0.077415,-0.018386000000000003,665.8
2779,1.614,-0.004858299999999999,0.037535,436.15
2780,2.0743,0.051870000000000006,-0.00050683,358.08
2781,1.7006,0.0076285,0.038687,431.7
2782,2.7335,-0.01963,0.00088518,333.08
2783,3.6451,0.0021944000000000004,0.046166000000000006,289.76
2784,2.0513,0.041331,-0.0010752000000000001,387.31
2785,0.28881999999999997,0.037407,-0.0027378,672.03
2786,0.31192,0.010237999999999999,-0.030271,675.67
2787,2.7569,-0.0024546,-0.019227,332.75
2788,0.39916,-0.0078222,-0.058878,687.78
2789,3.2702,0.033732,-0.012969999999999999,303.84
2790,0.58203,-0.12866,-0.026149000000000002,695.41
2791,0.50964,-0.11613,0.075798,695.77
2792,0.2957,-0.0010399,0.026402,668.82
2793,0.29885,-0.012776000000000001,0.03765,671.34
2794,0.29199,-0.0081044,0.032681,668.11
2795,0.5497,0.062774,0.13967000000000002,696.17
2796,0.5213300000000001,-0.040734,0.12574000000000002,695.25
2797,4.1612,0.058137,0.031932,276.08
2798,4.1683,0.050447000000000006,0.022872,276.31
2799,4.1725,0.060013,0.026527,276.05
2800,2.8545,0.014136000000000001,0.016877,324.96
2801,2.8602,0.018323,0.014381,323.18
2802,2.8449,0.015280000000000002,0.004806899999999999,325.09
2803,3.5293,-0.037321,-0.012487999999999999,293.5
2804,3.2229,-0.012828999999999998,-0.022428,305.43
2805,2.2175,-0.00052177,0.036106,370.96
2806,1.689,-0.021909,0.031241,439.45
2807,3.5065,-0.038571,-0.018584,294.14
2808,0.54379,-0.05935700000000001,-0.021314,697.12
2809,0.40213000000000004,0.013386000000000002,0.030369,687.67
2810,0.6129,0.1007,-0.084075,695.04
2811,1.1424,0.014719,-0.041393,545.66
