"Index","Points:0","Points:1","Points:2","T"
1719,0.20059000000000002,-0.046255000000000004,-0.10286,622.05
1722,0.20049,-0.063533,-0.090305,622.57
1740,0.19802999999999998,-0.051271000000000004,-0.092801,621.3
1749,0.1977,-0.06863999999999999,-0.09676599999999999,619.4
1757,0.19698,-0.048941000000000005,-0.10832,618.49
1761,0.19591,-0.044201,-0.099803,618.33
1770,0.19442,-0.04723,-0.099886,617.09
1775,0.19342,-0.04138,-0.10032999999999999,616.48
1799,0.18942,-0.07338,-0.10345,614.5
1841,0.18572,-0.058897000000000005,-0.10647000000000001,607.2
20972,0.20334000000000002,0.026588,-0.12385999999999998,632.09
21030,0.20154,0.017294999999999998,-0.12017,623.22
21037,0.20027999999999999,0.047721,-0.11350999999999999,623.54
21089,0.19217,0.048332,-0.11135999999999999,615.91
21118,0.1879,0.036650999999999996,-0.12286,613.02
1776,0.19338,-0.04502,-0.061108,617.04
1781,0.19244,-0.042924000000000004,-0.059749000000000003,616.68
1783,0.19252,-0.044313,-0.062415,615.89
1803,0.19005,-0.051237,-0.07273099999999999,613.16
1810,0.1888,-0.042401,-0.057168,613.09
1860,0.1826,-0.064903,-0.073464,605.14
1869,0.18168,-0.051435,-0.054649,604.34
49820,0.20182999999999998,-0.008371799999999999,0.12138,622.51
49840,0.19845,-0.0040289,0.11341,619.74
49886,0.19025,-0.001219,0.11498,612.53
49920,0.19737000000000002,-0.00014894,0.12838,634.83
72272,0.19311,0.011484999999999999,0.1184,615.27
72281,0.18927,0.015016999999999999,0.12746,615.91
72325,0.18599000000000002,0.011986,0.10733,608.33
72371,0.18106,0.0064171,0.10361,602.58
21017,0.20319,0.016324,-0.026118000000000002,625.22
21018,0.20168,0.0086395,-0.023406,625.57
21027,0.19998,0.0034736999999999993,-0.029905,624.67
21035,0.20088,0.0166,-0.024288999999999998,623.35
21061,0.19566,0.032077,-0.026213,619.77
21075,0.19421,0.023936000000000002,-0.028352999999999996,618.38
21090,0.19209,0.022293,-0.029747000000000003,615.94
21112,0.18985,0.016888,-0.042145999999999996,612.07
21148,0.18474000000000002,0.011585,-0.041937,607.48
20401,0.19762000000000002,0.064832,-0.11133,672.45
20946,0.19527,0.07528,-0.10478,637.4
20950,0.19881,0.059398,-0.11397,636.79
21045,0.19847,0.063636,-0.1033,621.97
21078,0.1892,0.060288999999999995,-0.114,619.67
21101,0.19046,0.058950999999999996,-0.098788,614.09
21108,0.18944,0.058836,-0.10205,613.04
72185,0.20265999999999998,0.087259,0.019485,629.03
72195,0.20087,0.08546799999999999,0.016535,627.17
72196,0.20152,0.083979,0.042026,626.97
72200,0.20013,0.08884299999999999,0.029093,626.76
72236,0.19619,0.081916,0.030507999999999997,621.73
72240,0.19429000000000002,0.090369,0.040544,621.05
72255,0.19394,0.078681,0.015349000000000002,619.54
72265,0.19389,0.095277,0.048362,617.19
72276,0.19095,0.082484,0.024666999999999998,616.53
72282,0.18980999999999998,0.084597,0.021431,615.74
49834,0.19714,-0.010907,0.075168,621.73
49929,0.20013,0.00026057,0.078399,621.51
72212,0.20217000000000002,0.015057,0.089936,623.92
72239,0.19735999999999998,0.017628,0.081256,619.64
72251,0.19649,0.012067,0.081359,617.77
72271,0.19345,0.018621000000000002,0.080499,615.93
72361,0.18233,0.004517800000000001,0.081192,604.16
72370,0.19759000000000002,0.0013147999999999999,0.067722,622.7
1747,0.19815,-0.034837,-0.008459,620.03
1764,0.19525,-0.031082,-0.0014606,617.69
1766,0.19560999999999998,-0.025283,-0.006665000000000001,617.26
1895,0.2003,-0.030184,-0.00058494,621.78
49829,0.1998,-0.036373,0.0052632,622.09
49835,0.19877,-0.032622000000000005,0.0053881,621.1
49956,0.19912,-0.031272,-0.00088215,621.13
21014,0.20165999999999998,0.088828,-0.0025624000000000003,626.72
21015,0.20184000000000002,0.088526,-0.0042058,626.36
21038,0.19965,0.11475999999999999,-0.0090478,623.07
21048,0.1968,0.10730999999999999,-0.0084348,621.02
21076,0.19388,0.11092,-0.011049,617.74
21084,0.19266,0.098851,-0.012058,616.98
21091,0.20277,0.10609,-0.0021749000000000004,629.35
21110,0.18902,0.08646799999999999,-0.0018390000000000001,613.26
21116,0.20117000000000002,0.11557,-0.0036944000000000005,624.87
21117,0.20055,0.10687999999999999,-0.00155,627.71
71765,0.20178,0.12122999999999999,0.043657999999999995,663.79
72104,0.19543,0.10932,0.067074,639.85
72213,0.19899999999999998,0.10645,0.045185,624.9
72214,0.20015,0.10639000000000001,0.061741,624.41
