"active","origId","typeId","origProcId","d","Ygas","rho","Yliquid","Cp","dTarget","nParticle","age","YH2O(l)","mass0","T","Ysolid","tTurb","UTurb:0","UTurb:1","UTurb:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,46,-1,16,1e-05,0,1000,1,4398.9,0,4.0885e+05,0.0098853,1,5.236e-13,453.09,0,0.00028289,-2.0206,0.25115,0.96807,347.18,1.5392,1.8975,1.7962,0.023163,-0.012994
1,22,-1,16,1e-05,0,1000,1,4302.5,0,8.1769e+05,0.0099372,1,5.236e-13,419.71,0,0.00023621,1.2769,1.6648,0.91098,343.35,0.99189,2.0912,1.7774,0.019863,-0.034864
1,60,-1,16,1e-05,0,1000,1,4316.8,0,4.0891e+05,0.0098551,1,5.236e-13,425.72,0,0.00014241,1.778,-0.14408,-2.2677,344.37,2.5588,-2.4828,1.7853,0.011884,-0.038863
1,28,-1,16,1e-05,0,1000,1,4379.1,0,8.1769e+05,0.0099287,1,5.236e-13,447.39,0,0.00025305,0.29134,0.048669,-0.099011,348.14,-0.30417,2.945,1.7845,0.014745,-0.01632
1,20,-1,16,1e-05,0,1000,1,4349.9,0,4.0885e+05,0.0099401,1,5.236e-13,438.02,0,0.00023052,3.3764,1.7663,-3.7959,347.21,2.1136,-2.203,1.7772,0.024243,-0.026351
1,129,-1,16,1e-05,0,1000,1,4348.5,0,8.1794e+05,0.0097124,1,5.236e-13,437.55,0,0.00021865,1.7433,1.2521,-1.5896,348.06,1.2883,-0.40176,1.7751,0.019643,-0.026252
1,176,-1,16,1e-05,0,1000,1,4338.7,0,4.0903e+05,0.0096283,1,5.236e-13,434.07,0,0.00051903,9.1655,-4.2418,0.97283,355.6,-2.8753,2.2491,1.7707,0.016912,-0.025891
1,112,-1,16,1e-05,0,1000,1,4425.6,0,4.0897e+05,0.0097424,1,5.236e-13,460.07,0,0.00017204,-1.4412,1.4824,1.758,349.85,1.2729,1.001,1.7534,0.022031,-0.017012
1,234,-1,16,1e-05,0,1000,1,4334.9,0,8.1819e+05,0.0095054,1,5.236e-13,432.7,0,0.00010666,2.4713,-1.1839,-2.8477,353.65,-4.4806,4.1563,1.7604,0.0082191,-0.030644
1,137,-1,16,1e-05,0,1000,1,4356.8,0,4.0897e+05,0.0096931,1,5.236e-13,440.33,0,0.00015399,-2.0151,0.1228,3.5499,346.68,1.4547,1.5405,1.7503,0.025436,-0.022705
1,136,-1,16,1e-05,0,1000,1,4395.5,0,4.0897e+05,0.0096953,1,5.236e-13,452.13,0,0.00013338,-8.7726,1.4324,4.6028,345.95,-5.0031,3.997,1.7423,0.011783,-0.021245
1,184,-1,16,1e-05,0,1000,1,4380.1,0,4.0903e+05,0.0096117,1,5.236e-13,447.67,0,0.00012962,-3.5414,-5.642,6.9921,347.22,-3.7159,0.70076,1.7425,0.018381,-0.028288
1,128,-1,16,1e-05,0,1000,1,4468.8,0,4.0897e+05,0.0097188,1,5.236e-13,470.05,0,0.00011583,-3.7566,0.54066,0.52775,355.41,-1.1065,0.58489,1.7373,0.016388,-0.014191
1,102,-1,16,1e-05,0,1000,1,4368.2,0,4.0897e+05,0.0097702,1,5.236e-13,444.02,0,1.471e-05,-8.5971,-4.7799,-1.5916,362.57,-5.1379,9.762,1.744,0.020534,-0.022558
1,210,-1,8,1e-05,0,1000,1,4311.6,0,4.0903e+05,0.0096162,1,5.236e-13,423.6,0,0.00094993,8.8521,-8.8302,7.58,355.16,-7.4684,7.7813,1.725,0.010779,-0.038071
1,172,-1,16,1e-05,0,1000,1,4327.3,0,4.0903e+05,0.0096383,1,5.236e-13,429.83,0,0.00062583,0.51788,-1.5911,-1.5572,347.21,-0.24871,-0.90947,1.7147,0.020332,-0.037526
1,178,-1,16,1e-05,0,1000,1,4340.1,0,4.0903e+05,0.0096241,1,5.236e-13,434.57,0,0.00069121,1.6139,1.6703,-9.3398,349.2,2.6,-8.6022,1.7164,0.01724,-0.038216
1,114,-1,16,1e-05,0,1000,1,4356,0,8.1794e+05,0.0097374,1,5.236e-13,440.09,0,0.00034891,0.97171,11.218,-5.0087,343.96,10.807,-6.0752,1.8143,0.014795,-0.031739
1,371,-1,16,1e-05,0,1000,1,4380.7,0,8.1845e+05,0.009254,1,5.236e-13,447.86,0,0.00050411,-5.558,5.776,-7.4077,345.13,6.4521,-6.5058,1.7117,0.018299,-0.032663
1,166,-1,16,1e-05,0,1000,1,4347,0,4.0903e+05,0.0096476,1,5.236e-13,437.03,0,2.5866e-05,2.2159,6.7213,-1.2866,350.65,0.86279,0.99603,1.7055,0.019889,-0.032078
1,130,-1,8,1e-05,0,1000,1,4303.9,0,8.1794e+05,0.0097581,1,5.236e-13,420.33,0,0.0004828,2.538,2.511,3.963,348.05,3.7759,4.0508,1.6926,0.021361,-0.041267
